ped_codigo,ped_codMunicipio,ped_anio,ped_poblacion_escolar,ped_num_poblacion_escolar
1,41006,2015,1,782
2,41013,2015,1,203
3,41016,2015,1,561
4,41020,2015,1,509
5,41026,2015,1,92
6,41078,2015,1,191
7,41132,2015,1,639
8,41206,2015,1,246
9,41244,2015,1,92
10,41298,2015,1,1925
11,41306,2015,1,702
12,41319,2015,1,481
13,41349,2015,1,139
14,41357,2015,1,245
15,41359,2015,1,558
16,41378,2015,1,321
17,41396,2015,1,1381
18,41483,2015,1,138
19,41001,2015,1,5385
20,41503,2015,1,349
21,41518,2015,1,120
22,41524,2015,1,623
23,41530,2015,1,246
24,41548,2015,1,287
25,41551,2015,1,2536
26,41615,2015,1,350
27,41660,2015,1,274
28,41668,2015,1,632
29,41676,2015,1,241
30,41770,2015,1,425
31,41791,2015,1,406
32,41799,2015,1,331
33,41801,2015,1,176
34,41797,2015,1,185
35,41807,2015,1,419
36,41872,2015,1,156
37,41885,2015,1,148
38,41006,2015,2,3810
39,41013,2015,2,990
40,41016,2015,2,2788
41,41020,2015,2,2490
42,41026,2015,2,452
43,41078,2015,2,926
44,41132,2015,2,3225
45,41206,2015,2,1199
46,41244,2015,2,451
47,41298,2015,2,9372
48,41306,2015,2,3472
49,41319,2015,2,2335
50,41349,2015,2,691
51,41357,2015,2,1186
52,41359,2015,2,2719
53,41378,2015,2,1535
54,41396,2015,2,6793
55,41483,2015,2,663
56,41001,2015,2,27854
57,41503,2015,2,1701
58,41518,2015,2,578
59,41524,2015,2,3139
60,41530,2015,2,1200
61,41548,2015,2,1350
62,41551,2015,2,12655
63,41615,2015,2,1730
64,41660,2015,2,1321
65,41668,2015,2,3111
66,41676,2015,2,1189
67,41770,2015,2,2061
68,41791,2015,2,1991
69,41799,2015,2,1604
70,41801,2015,2,879
71,41797,2015,2,914
72,41807,2015,2,2089
73,41872,2015,2,778
74,41885,2015,2,741
75,41006,2015,5,4456
76,41013,2015,5,1145
77,41016,2015,5,3202
78,41020,2015,5,2810
79,41026,2015,5,547
80,41078,2015,5,1113
81,41132,2015,5,3888
82,41206,2015,5,1433
83,41244,2015,5,514
84,41298,2015,5,11231
85,41306,2015,5,3968
86,41319,2015,5,2665
87,41349,2015,5,796
88,41357,2015,5,1406
89,41359,2015,5,3301
90,41378,2015,5,1780
91,41396,2015,5,8058
92,41483,2015,5,794
93,41001,2015,5,35347
94,41503,2015,5,1984
95,41518,2015,5,696
96,41524,2015,5,3734
97,41530,2015,5,1437
98,41548,2015,5,1573
99,41551,2015,5,15402
100,41615,2015,5,1995
101,41660,2015,5,1513
102,41668,2015,5,3772
103,41676,2015,5,1382
104,41770,2015,5,2356
105,41791,2015,5,2271
106,41799,2015,5,1836
107,41801,2015,5,1038
108,41797,2015,5,1069
109,41807,2015,5,2520
110,41872,2015,5,889
111,41885,2015,5,926
112,41006,2014,1,767
113,41013,2014,1,202
114,41016,2014,1,562
115,41020,2014,1,519
116,41026,2014,1,90
117,41078,2014,1,190
118,41132,2014,1,645
119,41206,2014,1,241
120,41244,2014,1,93
121,41298,2014,1,1878
122,41306,2014,1,718
123,41319,2014,1,480
124,41349,2014,1,143
125,41357,2014,1,239
126,41359,2014,1,545
127,41378,2014,1,311
128,41396,2014,1,1362
129,41483,2014,1,135
130,41001,2014,1,5429
131,41503,2014,1,340
132,41518,2014,1,113
133,41524,2014,1,628
134,41530,2014,1,242
135,41548,2014,1,280
136,41551,2014,1,2508
137,41615,2014,1,358
138,41660,2014,1,270
139,41668,2014,1,623
140,41676,2014,1,246
141,41770,2014,1,419
142,41791,2014,1,410
143,41799,2014,1,331
144,41801,2014,1,179
145,41797,2014,1,189
146,41807,2014,1,421
147,41872,2014,1,162
148,41885,2014,1,148
149,41006,2014,2,3776
150,41013,2014,2,994
151,41016,2014,2,2753
152,41020,2014,2,2526
153,41026,2014,2,448
154,41078,2014,2,934
155,41132,2014,2,3258
156,41206,2014,2,1200
157,41244,2014,2,449
158,41298,2014,2,9248
159,41306,2014,2,3471
160,41319,2014,2,2318
161,41349,2014,2,699
162,41357,2014,2,1184
163,41359,2014,2,2719
164,41378,2014,2,1518
165,41396,2014,2,6759
166,41483,2014,2,660
167,41001,2014,2,28135
168,41503,2014,2,1684
169,41518,2014,2,577
170,41524,2014,2,3140
171,41530,2014,2,1199
172,41548,2014,2,1362
173,41551,2014,2,12598
174,41615,2014,2,1744
175,41660,2014,2,1325
176,41668,2014,2,3115
177,41676,2014,2,1195
178,41770,2014,2,2032
179,41791,2014,2,2005
180,41799,2014,2,1615
181,41801,2014,2,885
182,41797,2014,2,926
183,41807,2014,2,2118
184,41872,2014,2,787
185,41885,2014,2,739
186,41006,2014,3,2995
187,41013,2014,3,776
188,41016,2014,3,2098
189,41020,2014,3,1911
190,41026,2014,3,368
191,41078,2014,3,751
192,41132,2014,3,2626
193,41206,2014,3,965
194,41244,2014,3,340
195,41298,2014,3,7423
196,41306,2014,3,2617
197,41319,2014,3,1776
198,41349,2014,3,531
199,41357,2014,3,943
200,41359,2014,3,2238
201,41378,2014,3,1207
202,41396,2014,3,5392
203,41483,2014,3,538
204,41001,2014,3,23762
205,41503,2014,3,1347
206,41518,2014,3,485
207,41524,2014,3,2492
208,41530,2014,3,967
209,41548,2014,3,1081
210,41551,2014,3,10260
211,41615,2014,3,1327
212,41660,2014,3,1032
213,41668,2014,3,2536
214,41676,2014,3,928
215,41770,2014,3,1558
216,41791,2014,3,1544
217,41799,2014,3,1248
218,41801,2014,3,706
219,41797,2014,3,717
220,41807,2014,3,1714
221,41872,2014,3,602
222,41885,2014,3,618
223,41006,2014,4,1463
224,41013,2014,4,384
225,41016,2014,4,1027
226,41020,2014,4,905
227,41026,2014,4,186
228,41078,2014,4,388
229,41132,2014,4,1308
230,41206,2014,4,497
231,41244,2014,4,163
232,41298,2014,4,3813
233,41306,2014,4,1283
234,41319,2014,4,870
235,41349,2014,4,261
236,41357,2014,4,485
237,41359,2014,4,1131
238,41378,2014,4,596
239,41396,2014,4,2688
240,41483,2014,4,282
241,41001,2014,4,12255
242,41503,2014,4,644
243,41518,2014,4,241
244,41524,2014,4,1217
245,41530,2014,4,494
246,41548,2014,4,546
247,41551,2014,4,5207
248,41615,2014,4,652
249,41660,2014,4,493
250,41668,2014,4,1325
251,41676,2014,4,453
252,41770,2014,4,764
253,41791,2014,4,728
254,41799,2014,4,604
255,41801,2014,4,341
256,41797,2014,4,359
257,41807,2014,4,857
258,41872,2014,4,294
259,41885,2014,4,325
260,41006,2013,1,754
261,41013,2013,1,201
262,41016,2013,1,559
263,41020,2013,1,530
264,41026,2013,1,89
265,41078,2013,1,188
266,41132,2013,1,652
267,41206,2013,1,243
268,41244,2013,1,93
269,41298,2013,1,1842
270,41306,2013,1,722
271,41319,2013,1,478
272,41349,2013,1,146
273,41357,2013,1,237
274,41359,2013,1,541
275,41378,2013,1,305
276,41396,2013,1,1349
277,41483,2013,1,132
278,41001,2013,1,5463
279,41503,2013,1,332
280,41518,2013,1,113
281,41524,2013,1,631
282,41530,2013,1,240
283,41548,2013,1,281
284,41551,2013,1,2486
285,41615,2013,1,364
286,41660,2013,1,272
287,41668,2013,1,619
288,41676,2013,1,247
289,41770,2013,1,414
290,41791,2013,1,414
291,41799,2013,1,332
292,41801,2013,1,181
293,41797,2013,1,195
294,41807,2013,1,426
295,41872,2013,1,165
296,41885,2013,1,148
297,41006,2013,2,3753
298,41013,2013,2,1001
299,41016,2013,2,2715
300,41020,2013,2,2561
301,41026,2013,2,448
302,41078,2013,2,952
303,41132,2013,2,3291
304,41206,2013,2,1202
305,41244,2013,2,443
306,41298,2013,2,9161
307,41306,2013,2,3466
308,41319,2013,2,2302
309,41349,2013,2,706
310,41357,2013,2,1181
311,41359,2013,2,2732
312,41378,2013,2,1508
313,41396,2013,2,6737
314,41483,2013,2,661
315,41001,2013,2,28430
316,41503,2013,2,1675
317,41518,2013,2,582
318,41524,2013,2,3145
319,41530,2013,2,1201
320,41548,2013,2,1375
321,41551,2013,2,12568
322,41615,2013,2,1749
323,41660,2013,2,1334
324,41668,2013,2,3123
325,41676,2013,2,1200
326,41770,2013,2,2001
327,41791,2013,2,2026
328,41799,2013,2,1626
329,41801,2013,2,897
330,41797,2013,2,939
331,41807,2013,2,2148
332,41872,2013,2,799
333,41885,2013,2,744
334,41006,2013,3,3003
335,41013,2013,3,788
336,41016,2013,3,2041
337,41020,2013,3,1912
338,41026,2013,3,370
339,41078,2013,3,772
340,41132,2013,3,2659
341,41206,2013,3,984
342,41244,2013,3,336
343,41298,2013,3,7426
344,41306,2013,3,2562
345,41319,2013,3,1759
346,41349,2013,3,531
347,41357,2013,3,958
348,41359,2013,3,2286
349,41378,2013,3,1227
350,41396,2013,3,5419
351,41483,2013,3,556
352,41001,2013,3,24234
353,41503,2013,3,1360
354,41518,2013,3,505
355,41524,2013,3,2472
356,41530,2013,3,985
357,41548,2013,3,1119
358,41551,2013,3,10319
359,41615,2013,3,1313
360,41660,2013,3,1040
361,41668,2013,3,2603
362,41676,2013,3,928
363,41770,2013,3,1532
364,41791,2013,3,1538
365,41799,2013,3,1260
366,41801,2013,3,708
367,41797,2013,3,720
368,41807,2013,3,1756
369,41872,2013,3,602
370,41885,2013,3,625
371,41006,2013,4,1448
372,41013,2013,4,392
373,41016,2013,4,1033
374,41020,2013,4,925
375,41026,2013,4,187
376,41078,2013,4,400
377,41132,2013,4,1333
378,41206,2013,4,512
379,41244,2013,4,167
380,41298,2013,4,3782
381,41306,2013,4,1315
382,41319,2013,4,880
383,41349,2013,4,272
384,41357,2013,4,497
385,41359,2013,4,1141
386,41378,2013,4,597
387,41396,2013,4,2678
388,41483,2013,4,289
389,41001,2013,4,12570
390,41503,2013,4,630
391,41518,2013,4,241
392,41524,2013,4,1224
393,41530,2013,4,500
394,41548,2013,4,564
395,41551,2013,4,5223
396,41615,2013,4,670
397,41660,2013,4,491
398,41668,2013,4,1362
399,41676,2013,4,463
400,41770,2013,4,766
401,41791,2013,4,730
402,41799,2013,4,370
403,41801,2013,4,616
404,41797,2013,4,344
405,41807,2013,4,876
406,41872,2013,4,305
407,41885,2013,4,332
408,41006,2012,1,747
409,41013,2012,1,203
410,41016,2012,1,559
411,41020,2012,1,542
412,41026,2012,1,88
413,41078,2012,1,189
414,41132,2012,1,662
415,41206,2012,1,240
416,41244,2012,1,91
417,41298,2012,1,1840
418,41306,2012,1,734
419,41319,2012,1,475
420,41349,2012,1,149
421,41357,2012,1,235
422,41359,2012,1,538
423,41378,2012,1,302
424,41396,2012,1,1340
425,41483,2012,1,129
426,41001,2012,1,5522
427,41503,2012,1,329
428,41518,2012,1,112
429,41524,2012,1,638
430,41530,2012,1,239
431,41548,2012,1,279
432,41551,2012,1,2470
433,41615,2012,1,370
434,41660,2012,1,272
435,41668,2012,1,616
436,41676,2012,1,249
437,41770,2012,1,408
438,41791,2012,1,420
439,41799,2012,1,335
440,41801,2012,1,183
441,41797,2012,1,196
442,41807,2012,1,430
443,41872,2012,1,169
444,41885,2012,1,147
445,41006,2012,2,3729
446,41013,2012,2,1006
447,41016,2012,2,2670
448,41020,2012,2,2591
449,41026,2012,2,447
450,41078,2012,2,952
451,41132,2012,2,3321
452,41206,2012,2,1208
453,41244,2012,2,442
454,41298,2012,2,9099
455,41306,2012,2,3454
456,41319,2012,2,2291
457,41349,2012,2,717
458,41357,2012,2,1178
459,41359,2012,2,2745
460,41378,2012,2,1515
461,41396,2012,2,6718
462,41483,2012,2,661
463,41001,2012,2,28665
464,41503,2012,2,1671
465,41518,2012,2,593
466,41524,2012,2,3148
467,41530,2012,2,1203
468,41548,2012,2,1394
469,41551,2012,2,12530
470,41615,2012,2,1761
471,41660,2012,2,1343
472,41668,2012,2,3128
473,41676,2012,2,1208
474,41770,2012,2,1973
475,41791,2012,2,2046
476,41799,2012,2,1641
477,41801,2012,2,907
478,41797,2012,2,950
479,41807,2012,2,2184
480,41872,2012,2,810
481,41885,2012,2,746
482,41006,2012,3,3013
483,41013,2012,3,801
484,41016,2012,3,1987
485,41020,2012,3,1915
486,41026,2012,3,371
487,41078,2012,3,794
488,41132,2012,3,2693
489,41206,2012,3,1007
490,41244,2012,3,335
491,41298,2012,3,7408
492,41306,2012,3,2506
493,41319,2012,3,1742
494,41349,2012,3,526
495,41357,2012,3,976
496,41359,2012,3,2340
497,41378,2012,3,1235
498,41396,2012,3,5452
499,41483,2012,3,579
500,41001,2012,3,24773
501,41503,2012,3,1365
502,41518,2012,3,516
503,41524,2012,3,2450
504,41530,2012,3,1007
505,41548,2012,3,1160
506,41551,2012,3,10392
507,41615,2012,3,1298
508,41660,2012,3,1053
509,41668,2012,3,2677
510,41676,2012,3,928
511,41770,2012,3,1506
512,41791,2012,3,1532
513,41799,2012,3,1274
514,41801,2012,3,712
515,41797,2012,3,724
516,41807,2012,3,1794
517,41872,2012,3,601
518,41885,2012,3,636
519,41006,2012,4,1427
520,41013,2012,4,396
521,41016,2012,4,1037
522,41020,2012,4,938
523,41026,2012,4,185
524,41078,2012,4,410
525,41132,2012,4,1351
526,41206,2012,4,521
527,41244,2012,4,168
528,41298,2012,4,3703
529,41306,2012,4,1348
530,41319,2012,4,888
531,41349,2012,4,282
532,41357,2012,4,505
533,41359,2012,4,1140
534,41378,2012,4,587
535,41396,2012,4,2646
536,41483,2012,4,295
537,41001,2012,4,12803
538,41503,2012,4,609
539,41518,2012,4,235
540,41524,2012,4,1226
541,41530,2012,4,504
542,41548,2012,4,574
543,41551,2012,4,5206
544,41615,2012,4,689
545,41660,2012,4,487
546,41668,2012,4,1394
547,41676,2012,4,468
548,41770,2012,4,767
549,41791,2012,4,730
550,41799,2012,4,622
551,41801,2012,4,344
552,41797,2012,4,380
553,41807,2012,4,888
554,41872,2012,4,317
555,41885,2012,4,338
556,41006,2011,1,742
557,41013,2011,1,204
558,41016,2011,1,542
559,41020,2011,1,545
560,41026,2011,1,88
561,41078,2011,1,190
562,41132,2011,1,662
563,41206,2011,1,239
564,41244,2011,1,90
565,41298,2011,1,1816
566,41306,2011,1,720
567,41319,2011,1,469
568,41349,2011,1,150
569,41357,2011,1,234
570,41359,2011,1,541
571,41378,2011,1,303
572,41396,2011,1,1340
573,41483,2011,1,129
574,41001,2011,1,5573
575,41503,2011,1,330
576,41518,2011,1,115
577,41524,2011,1,634
578,41530,2011,1,238
579,41548,2011,1,283
580,41551,2011,1,2465
581,41615,2011,1,367
582,41660,2011,1,275
583,41668,2011,1,611
584,41676,2011,1,249
585,41770,2011,1,400
586,41791,2011,1,424
587,41799,2011,1,337
588,41801,2011,1,184
589,41797,2011,1,196
590,41807,2011,1,437
591,41872,2011,1,168
592,41885,2011,1,146
593,41006,2011,2,3734
594,41013,2011,2,1020
595,41016,2011,2,2623
596,41020,2011,2,2622
597,41026,2011,2,449
598,41078,2011,2,971
599,41132,2011,2,3370
600,41206,2011,2,1224
601,41244,2011,2,436
602,41298,2011,2,9075
603,41306,2011,2,3431
604,41319,2011,2,2276
605,41349,2011,2,718
606,41357,2011,2,1188
607,41359,2011,2,2792
608,41378,2011,2,1525
609,41396,2011,2,6738
610,41483,2011,2,673
611,41001,2011,2,29026
612,41503,2011,2,1679
613,41518,2011,2,607
614,41524,2011,2,3153
615,41530,2011,2,1219
616,41548,2011,2,1429
617,41551,2011,2,12576
618,41615,2011,2,1760
619,41660,2011,2,1360
620,41668,2011,2,3176
621,41676,2011,2,1216
622,41770,2011,2,1949
623,41791,2011,2,2065
624,41799,2011,2,1660
625,41801,2011,2,918
626,41797,2011,2,960
627,41807,2011,2,2232
628,41872,2011,2,818
629,41885,2011,2,756
630,41006,2011,3,3000
631,41013,2011,3,816
632,41016,2011,3,1984
633,41020,2011,3,1944
634,41026,2011,3,374
635,41078,2011,3,821
636,41132,2011,3,2746
637,41206,2011,3,1034
638,41244,2011,3,336
639,41298,2011,3,7375
640,41306,2011,3,2538
641,41319,2011,3,1757
642,41349,2011,3,541
643,41357,2011,3,996
644,41359,2011,3,2369
645,41378,2011,3,1241
646,41396,2011,3,5465
647,41483,2011,3,598
648,41001,2011,3,25426
649,41503,2011,3,1353
650,41518,2011,3,520
651,41524,2011,3,2458
652,41530,2011,3,1023
653,41548,2011,3,1198
654,41551,2011,3,10457
655,41615,2011,3,1320
656,41660,2011,3,1058
657,41668,2011,3,2756
658,41676,2011,3,940
659,41770,2011,3,1508
660,41791,2011,3,1539
661,41799,2011,3,1296
662,41801,2011,3,719
663,41797,2011,3,743
664,41807,2011,3,1836
665,41872,2011,3,620
666,41885,2011,3,652
667,41006,2011,4,1397
668,41013,2011,4,400
669,41016,2011,4,1044
670,41020,2011,4,958
671,41026,2011,4,184
672,41078,2011,4,419
673,41132,2011,4,1970
674,41206,2011,4,531
675,41244,2011,4,171
676,41298,2011,4,3644
677,41306,2011,4,1382
678,41319,2011,4,895
679,41349,2011,4,290
680,41357,2011,4,513
681,41359,2011,4,1137
682,41378,2011,4,582
683,41396,2011,4,2621
684,41483,2011,4,294
685,41001,2011,4,13050
686,41503,2011,4,587
687,41518,2011,4,228
688,41524,2011,4,1231
689,41530,2011,4,506
690,41548,2011,4,586
691,41551,2011,4,5188
692,41615,2011,4,709
693,41660,2011,4,483
694,41668,2011,4,1424
695,41676,2011,4,473
696,41770,2011,4,768
697,41791,2011,4,733
698,41799,2011,4,632
699,41801,2011,4,348
700,41797,2011,4,392
701,41807,2011,4,899
702,41872,2011,4,326
703,41885,2011,4,344
704,41006,2010,1,753
705,41013,2010,1,206
706,41016,2010,1,567
707,41020,2010,1,571
708,41026,2010,1,86
709,41078,2010,1,162
710,41132,2010,1,674
711,41206,2010,1,239
712,41244,2010,1,93
713,41298,2010,1,1776
714,41306,2010,1,778
715,41319,2010,1,481
716,41349,2010,1,162
717,41357,2010,1,232
718,41359,2010,1,524
719,41378,2010,1,289
720,41396,2010,1,1304
721,41483,2010,1,124
722,41001,2010,1,5579
723,41503,2010,1,310
724,41518,2010,1,106
725,41524,2010,1,650
726,41530,2010,1,234
727,41548,2010,1,278
728,41551,2010,1,2423
729,41615,2010,1,395
730,41660,2010,1,269
731,41668,2010,1,603
732,41676,2010,1,258
733,41770,2010,1,408
734,41791,2010,1,432
735,41799,2010,1,344
736,41801,2010,1,188
737,41797,2010,1,210
738,41807,2010,1,443
739,41872,2010,1,147
740,41885,2010,1,149
741,41006,2010,2,3784
742,41013,2010,2,1034
743,41016,2010,2,2519
744,41020,2010,2,2628
745,41026,2010,2,454
746,41078,2010,2,1026
747,41132,2010,2,3411
748,41206,2010,2,1247
749,41244,2010,2,429
750,41298,2010,2,9102
751,41306,2010,2,3308
752,41319,2010,2,2247
753,41349,2010,2,710
754,41357,2010,2,1208
755,41359,2010,2,2893
756,41378,2010,2,1567
757,41396,2010,2,6845
758,41483,2010,2,702
759,41001,2010,2,29517
760,41503,2010,2,1729
761,41518,2010,2,644
762,41524,2010,2,3135
763,41530,2010,2,1248
764,41548,2010,2,1494
765,41551,2010,2,12737
766,41615,2010,2,1717
767,41660,2010,2,1395
768,41668,2010,2,3255
769,41676,2010,2,1213
770,41770,2010,2,1908
771,41791,2010,2,2080
772,41799,2010,2,1696
773,41801,2010,2,928
774,41797,2010,2,952
775,41807,2010,2,2297
776,41872,2010,2,842
777,41885,2010,2,762
778,41006,2010,3,2959
779,41013,2010,3,831
780,41016,2010,3,2011
781,41020,2010,3,1987
782,41026,2010,3,372
783,41078,2010,3,843
784,41132,2010,3,2799
785,41206,2010,3,1058
786,41244,2010,3,339
787,41298,2010,3,7307
788,41306,2010,3,2620
789,41319,2010,3,1780
790,41349,2010,3,558
791,41357,2010,3,1015
792,41359,2010,3,2374
793,41378,2010,3,1231
794,41396,2010,3,5427
795,41483,2010,3,609
796,41001,2010,3,25990
797,41503,2010,3,1315
798,41518,2010,3,515
799,41524,2010,3,2473
800,41530,2010,3,1033
801,41548,2010,3,1227
802,41551,2010,3,10445
803,41615,2010,3,1371
804,41660,2010,3,1053
805,41668,2010,3,2826
806,41676,2010,3,959
807,41770,2010,3,1515
808,41791,2010,3,1544
809,41799,2010,3,1330
810,41801,2010,3,726
811,41797,2010,3,773
812,41807,2010,3,1887
813,41872,2010,3,656
814,41885,2010,3,671
815,41006,2010,4,1360
816,41013,2010,4,403
817,41016,2010,4,1038
818,41020,2010,4,977
819,41026,2010,4,182
820,41078,2010,4,431
821,41132,2010,4,1387
822,41206,2010,4,535
823,41244,2010,4,170
824,41298,2010,4,3593
825,41306,2010,4,1399
826,41319,2010,4,896
827,41349,2010,4,294
828,41357,2010,4,514
829,41359,2010,4,1128
830,41378,2010,4,570
831,41396,2010,4,2596
832,41483,2010,4,295
833,41001,2010,4,13222
834,41503,2010,4,568
835,41518,2010,4,226
836,41524,2010,4,1231
837,41530,2010,4,504
838,41548,2010,4,593
839,41551,2010,4,5143
840,41615,2010,4,724
841,41660,2010,4,479
842,41668,2010,4,1444
843,41676,2010,4,480
844,41770,2010,4,764
845,41791,2010,4,728
846,41799,2010,4,641
847,41801,2010,4,350
848,41797,2010,4,402
849,41807,2010,4,907
850,41872,2010,4,321
851,41885,2010,4,350
