orsa_codigo,orsa_codMunicipio,orsa_anio,orsa_tipo_organismos_salud,orsa_num_organismos_salud
1,41006,2014,1,1
2,41013,2014,1,1
3,41016,2014,1,1
4,41020,2014,1,1
5,41026,2014,1,0
6,41078,2014,1,1
7,41132,2014,1,1
8,41206,2014,1,1
9,41244,2014,1,1
10,41298,2014,1,1
11,41306,2014,1,1
12,41319,2014,1,1
13,41349,2014,1,1
14,41357,2014,1,1
15,41359,2014,1,1
16,41378,2014,1,1
17,41396,2014,1,2
18,41483,2014,1,1
19,41001,2014,1,1
20,41503,2014,1,1
21,41518,2014,1,1
22,41524,2014,1,1
23,41530,2014,1,1
24,41548,2014,1,1
25,41551,2014,1,1
26,41615,2014,1,1
27,41660,2014,1,1
28,41668,2014,1,1
29,41676,2014,1,1
30,41770,2014,1,1
31,41791,2014,1,1
32,41799,2014,1,1
33,41801,2014,1,1
34,41797,2014,1,1
35,41807,2014,1,1
36,41872,2014,1,1
37,41885,2014,1,1
38,41006,2014,2,
39,41013,2014,2,
40,41016,2014,2,
41,41020,2014,2,
42,41026,2014,2,
43,41078,2014,2,
44,41132,2014,2,
45,41206,2014,2,
46,41244,2014,2,
47,41298,2014,2,
48,41306,2014,2,
49,41319,2014,2,
50,41349,2014,2,
51,41357,2014,2,
52,41359,2014,2,
53,41378,2014,2,
54,41396,2014,2,
55,41483,2014,2,
56,41001,2014,2,3
57,41503,2014,2,
58,41518,2014,2,
59,41524,2014,2,
60,41530,2014,2,
61,41548,2014,2,
62,41551,2014,2,
63,41615,2014,2,
64,41660,2014,2,
65,41668,2014,2,
66,41676,2014,2,
67,41770,2014,2,
68,41791,2014,2,
69,41799,2014,2,
70,41801,2014,2,
71,41797,2014,2,
72,41807,2014,2,
73,41872,2014,2,
74,41885,2014,2,
75,41006,2014,3,
76,41013,2014,3,
77,41016,2014,3,
78,41020,2014,3,
79,41026,2014,3,
80,41078,2014,3,
81,41132,2014,3,
82,41206,2014,3,
83,41244,2014,3,
84,41298,2014,3,
85,41306,2014,3,
86,41319,2014,3,
87,41349,2014,3,
88,41357,2014,3,
89,41359,2014,3,
90,41378,2014,3,
91,41396,2014,3,
92,41483,2014,3,
93,41001,2014,3,
94,41503,2014,3,
95,41518,2014,3,
96,41524,2014,3,
97,41530,2014,3,
98,41548,2014,3,
99,41551,2014,3,
100,41615,2014,3,
101,41660,2014,3,
102,41668,2014,3,
103,41676,2014,3,
104,41770,2014,3,
105,41791,2014,3,
106,41799,2014,3,
107,41801,2014,3,
108,41797,2014,3,
109,41807,2014,3,
110,41872,2014,3,
111,41885,2014,3,
112,41006,2014,4,
113,41013,2014,4,
114,41016,2014,4,
115,41020,2014,4,
116,41026,2014,4,
117,41078,2014,4,
118,41132,2014,4,
119,41206,2014,4,
120,41244,2014,4,
121,41298,2014,4,
122,41306,2014,4,
123,41319,2014,4,
124,41349,2014,4,
125,41357,2014,4,
126,41359,2014,4,
127,41378,2014,4,
128,41396,2014,4,
129,41483,2014,4,
130,41001,2014,4,7
131,41503,2014,4,
132,41518,2014,4,
133,41524,2014,4,
134,41530,2014,4,
135,41548,2014,4,
136,41551,2014,4,
137,41615,2014,4,
138,41660,2014,4,
139,41668,2014,4,
140,41676,2014,4,
141,41770,2014,4,
142,41791,2014,4,
143,41799,2014,4,
144,41801,2014,4,
145,41797,2014,4,
146,41807,2014,4,
147,41872,2014,4,
148,41885,2014,4,
149,41006,2014,5,
150,41013,2014,5,
151,41016,2014,5,
152,41020,2014,5,
153,41026,2014,5,
154,41078,2014,5,
155,41132,2014,5,
156,41206,2014,5,
157,41244,2014,5,
158,41298,2014,5,
159,41306,2014,5,
160,41319,2014,5,
161,41349,2014,5,
162,41357,2014,5,
163,41359,2014,5,
164,41378,2014,5,
165,41396,2014,5,
166,41483,2014,5,
167,41001,2014,5,2
168,41503,2014,5,
169,41518,2014,5,
170,41524,2014,5,
171,41530,2014,5,
172,41548,2014,5,
173,41551,2014,5,
174,41615,2014,5,
175,41660,2014,5,
176,41668,2014,5,
177,41676,2014,5,
178,41770,2014,5,
179,41791,2014,5,
180,41799,2014,5,
181,41801,2014,5,
182,41797,2014,5,
183,41807,2014,5,
184,41872,2014,5,
185,41885,2014,5,
186,41006,2014,6,
187,41013,2014,6,
188,41016,2014,6,
189,41020,2014,6,
190,41026,2014,6,
191,41078,2014,6,
192,41132,2014,6,
193,41206,2014,6,
194,41244,2014,6,
195,41298,2014,6,
196,41306,2014,6,
197,41319,2014,6,
198,41349,2014,6,
199,41357,2014,6,
200,41359,2014,6,
201,41378,2014,6,
202,41396,2014,6,
203,41483,2014,6,
204,41001,2014,6,
205,41503,2014,6,
206,41518,2014,6,
207,41524,2014,6,
208,41530,2014,6,
209,41548,2014,6,
210,41551,2014,6,
211,41615,2014,6,
212,41660,2014,6,
213,41668,2014,6,
214,41676,2014,6,
215,41770,2014,6,
216,41791,2014,6,
217,41799,2014,6,
218,41801,2014,6,
219,41797,2014,6,
220,41807,2014,6,
221,41872,2014,6,
222,41885,2014,6,
223,41006,2014,7,
224,41013,2014,7,
225,41016,2014,7,
226,41020,2014,7,
227,41026,2014,7,
228,41078,2014,7,
229,41132,2014,7,
230,41206,2014,7,
231,41244,2014,7,
232,41298,2014,7,
233,41306,2014,7,
234,41319,2014,7,
235,41349,2014,7,
236,41357,2014,7,
237,41359,2014,7,
238,41378,2014,7,
239,41396,2014,7,
240,41483,2014,7,
241,41001,2014,7,
242,41503,2014,7,
243,41518,2014,7,
244,41524,2014,7,
245,41530,2014,7,
246,41548,2014,7,
247,41551,2014,7,
248,41615,2014,7,
249,41660,2014,7,
250,41668,2014,7,
251,41676,2014,7,
252,41770,2014,7,
253,41791,2014,7,
254,41799,2014,7,
255,41801,2014,7,
256,41797,2014,7,
257,41807,2014,7,
258,41872,2014,7,
259,41885,2014,7,
260,41006,2014,8,
261,41013,2014,8,
262,41016,2014,8,
263,41020,2014,8,
264,41026,2014,8,
265,41078,2014,8,
266,41132,2014,8,
267,41206,2014,8,
268,41244,2014,8,
269,41298,2014,8,
270,41306,2014,8,
271,41319,2014,8,
272,41349,2014,8,
273,41357,2014,8,
274,41359,2014,8,
275,41378,2014,8,
276,41396,2014,8,
277,41483,2014,8,
278,41001,2014,8,
279,41503,2014,8,
280,41518,2014,8,
281,41524,2014,8,
282,41530,2014,8,
283,41548,2014,8,
284,41551,2014,8,
285,41615,2014,8,
286,41660,2014,8,
287,41668,2014,8,
288,41676,2014,8,
289,41770,2014,8,
290,41791,2014,8,
291,41799,2014,8,
292,41801,2014,8,
293,41797,2014,8,
294,41807,2014,8,
295,41872,2014,8,
296,41885,2014,8,
297,41006,2014,9,
298,41013,2014,9,
299,41016,2014,9,
300,41020,2014,9,
301,41026,2014,9,
302,41078,2014,9,
303,41132,2014,9,
304,41206,2014,9,
305,41244,2014,9,
306,41298,2014,9,
307,41306,2014,9,
308,41319,2014,9,
309,41349,2014,9,
310,41357,2014,9,
311,41359,2014,9,
312,41378,2014,9,
313,41396,2014,9,
314,41483,2014,9,
315,41001,2014,9,
316,41503,2014,9,
317,41518,2014,9,
318,41524,2014,9,
319,41530,2014,9,
320,41548,2014,9,
321,41551,2014,9,
322,41615,2014,9,
323,41660,2014,9,
324,41668,2014,9,
325,41676,2014,9,
326,41770,2014,9,
327,41791,2014,9,
328,41799,2014,9,
329,41801,2014,9,
330,41797,2014,9,
331,41807,2014,9,
332,41872,2014,9,
333,41885,2014,9,
334,41006,2014,12,10
335,41013,2014,12,4
336,41016,2014,12,14
337,41020,2014,12,7
338,41026,2014,12,0
339,41078,2014,12,8
340,41132,2014,12,5
341,41206,2014,12,7
342,41244,2014,12,0
343,41298,2014,12,100
344,41306,2014,12,17
345,41319,2014,12,11
346,41349,2014,12,8
347,41357,2014,12,7
348,41359,2014,12,7
349,41378,2014,12,6
350,41396,2014,12,43
351,41483,2014,12,8
352,41001,2014,12,1104
353,41503,2014,12,6
354,41518,2014,12,9
355,41524,2014,12,14
356,41530,2014,12,3
357,41548,2014,12,9
358,41551,2014,12,147
359,41615,2014,12,11
360,41660,2014,12,8
361,41668,2014,12,15
362,41676,2014,12,10
363,41770,2014,12,7
364,41791,2014,12,6
365,41799,2014,12,9
366,41801,2014,12,8
367,41797,2014,12,5
368,41807,2014,12,9
369,41872,2014,12,10
370,41885,2014,12,5
371,41006,2013,1,1
372,41013,2013,1,1
373,41016,2013,1,1
374,41020,2013,1,1
375,41026,2013,1,0
376,41078,2013,1,1
377,41132,2013,1,1
378,41206,2013,1,1
379,41244,2013,1,1
380,41298,2013,1,2
381,41306,2013,1,1
382,41319,2013,1,1
383,41349,2013,1,1
384,41357,2013,1,1
385,41359,2013,1,1
386,41378,2013,1,1
387,41396,2013,1,2
388,41483,2013,1,1
389,41001,2013,1,2
390,41503,2013,1,1
391,41518,2013,1,1
392,41524,2013,1,1
393,41530,2013,1,1
394,41548,2013,1,1
395,41551,2013,1,2
396,41615,2013,1,1
397,41660,2013,1,1
398,41668,2013,1,1
399,41676,2013,1,1
400,41770,2013,1,1
401,41791,2013,1,1
402,41799,2013,1,1
403,41801,2013,1,1
404,41797,2013,1,1
405,41807,2013,1,1
406,41872,2013,1,1
407,41885,2013,1,1
408,41006,2013,2,
409,41013,2013,2,
410,41016,2013,2,
411,41020,2013,2,
412,41026,2013,2,
413,41078,2013,2,
414,41132,2013,2,
415,41206,2013,2,
416,41244,2013,2,
417,41298,2013,2,
418,41306,2013,2,
419,41319,2013,2,
420,41349,2013,2,
421,41357,2013,2,
422,41359,2013,2,
423,41378,2013,2,
424,41396,2013,2,
425,41483,2013,2,
426,41001,2013,2,4
427,41503,2013,2,
428,41518,2013,2,
429,41524,2013,2,
430,41530,2013,2,
431,41548,2013,2,
432,41551,2013,2,
433,41615,2013,2,
434,41660,2013,2,
435,41668,2013,2,
436,41676,2013,2,
437,41770,2013,2,
438,41791,2013,2,
439,41799,2013,2,
440,41801,2013,2,
441,41797,2013,2,
442,41807,2013,2,
443,41872,2013,2,
444,41885,2013,2,
445,41006,2013,3,
446,41013,2013,3,
447,41016,2013,3,
448,41020,2013,3,
449,41026,2013,3,
450,41078,2013,3,
451,41132,2013,3,
452,41206,2013,3,
453,41244,2013,3,
454,41298,2013,3,
455,41306,2013,3,
456,41319,2013,3,
457,41349,2013,3,
458,41357,2013,3,
459,41359,2013,3,
460,41378,2013,3,
461,41396,2013,3,
462,41483,2013,3,
463,41001,2013,3,1
464,41503,2013,3,
465,41518,2013,3,
466,41524,2013,3,
467,41530,2013,3,
468,41548,2013,3,
469,41551,2013,3,
470,41615,2013,3,
471,41660,2013,3,
472,41668,2013,3,
473,41676,2013,3,
474,41770,2013,3,
475,41791,2013,3,
476,41799,2013,3,
477,41801,2013,3,
478,41797,2013,3,
479,41807,2013,3,
480,41872,2013,3,
481,41885,2013,3,
482,41006,2013,4,
483,41013,2013,4,
484,41016,2013,4,
485,41020,2013,4,
486,41026,2013,4,
487,41078,2013,4,
488,41132,2013,4,
489,41206,2013,4,
490,41244,2013,4,
491,41298,2013,4,
492,41306,2013,4,
493,41319,2013,4,
494,41349,2013,4,
495,41357,2013,4,
496,41359,2013,4,
497,41378,2013,4,
498,41396,2013,4,
499,41483,2013,4,
500,41001,2013,4,7
501,41503,2013,4,
502,41518,2013,4,
503,41524,2013,4,
504,41530,2013,4,
505,41548,2013,4,
506,41551,2013,4,
507,41615,2013,4,
508,41660,2013,4,
509,41668,2013,4,
510,41676,2013,4,
511,41770,2013,4,
512,41791,2013,4,
513,41799,2013,4,
514,41801,2013,4,
515,41797,2013,4,
516,41807,2013,4,
517,41872,2013,4,
518,41885,2013,4,
519,41006,2013,5,
520,41013,2013,5,
521,41016,2013,5,
522,41020,2013,5,
523,41026,2013,5,
524,41078,2013,5,
525,41132,2013,5,
526,41206,2013,5,
527,41244,2013,5,
528,41298,2013,5,
529,41306,2013,5,
530,41319,2013,5,
531,41349,2013,5,
532,41357,2013,5,
533,41359,2013,5,
534,41378,2013,5,
535,41396,2013,5,
536,41483,2013,5,
537,41001,2013,5,2
538,41503,2013,5,
539,41518,2013,5,
540,41524,2013,5,
541,41530,2013,5,
542,41548,2013,5,
543,41551,2013,5,
544,41615,2013,5,
545,41660,2013,5,
546,41668,2013,5,
547,41676,2013,5,
548,41770,2013,5,
549,41791,2013,5,
550,41799,2013,5,
551,41801,2013,5,
552,41797,2013,5,
553,41807,2013,5,
554,41872,2013,5,
555,41885,2013,5,
556,41006,2013,9,
557,41013,2013,9,
558,41016,2013,9,
559,41020,2013,9,
560,41026,2013,9,
561,41078,2013,9,
562,41132,2013,9,
563,41206,2013,9,
564,41244,2013,9,
565,41298,2013,9,
566,41306,2013,9,
567,41319,2013,9,
568,41349,2013,9,
569,41357,2013,9,
570,41359,2013,9,
571,41378,2013,9,
572,41396,2013,9,
573,41483,2013,9,
574,41001,2013,9,
575,41503,2013,9,
576,41518,2013,9,
577,41524,2013,9,
578,41530,2013,9,
579,41548,2013,9,
580,41551,2013,9,
581,41615,2013,9,
582,41660,2013,9,
583,41668,2013,9,
584,41676,2013,9,
585,41770,2013,9,
586,41791,2013,9,
587,41799,2013,9,
588,41801,2013,9,
589,41797,2013,9,
590,41807,2013,9,
591,41872,2013,9,
592,41885,2013,9,
593,41006,2013,12,10
594,41013,2013,12,4
595,41016,2013,12,14
596,41020,2013,12,7
597,41026,2013,12,0
598,41078,2013,12,8
599,41132,2013,12,5
600,41206,2013,12,7
601,41244,2013,12,0
602,41298,2013,12,107
603,41306,2013,12,17
604,41319,2013,12,9
605,41349,2013,12,8
606,41357,2013,12,7
607,41359,2013,12,7
608,41378,2013,12,2
609,41396,2013,12,30
610,41483,2013,12,8
611,41001,2013,12,1053
612,41503,2013,12,6
613,41518,2013,12,9
614,41524,2013,12,14
615,41530,2013,12,3
616,41548,2013,12,9
617,41551,2013,12,147
618,41615,2013,12,12
619,41660,2013,12,11
620,41668,2013,12,15
621,41676,2013,12,10
622,41770,2013,12,7
623,41791,2013,12,6
624,41799,2013,12,9
625,41801,2013,12,8
626,41797,2013,12,5
627,41807,2013,12,9
628,41872,2013,12,10
629,41885,2013,12,5
630,41006,2002,1,1
631,41013,2002,1,1
632,41016,2002,1,1
633,41020,2002,1,1
634,41026,2002,1,0
635,41078,2002,1,1
636,41132,2002,1,1
637,41206,2002,1,0
638,41244,2002,1,0
639,41298,2002,1,1
640,41306,2002,1,1
641,41319,2002,1,1
642,41349,2002,1,0
643,41357,2002,1,1
644,41359,2002,1,0
645,41378,2002,1,0
646,41396,2002,1,1
647,41483,2002,1,0
648,41001,2002,1,1
649,41503,2002,1,0
650,41518,2002,1,0
651,41524,2002,1,1
652,41530,2002,1,0
653,41548,2002,1,0
654,41551,2002,1,1
655,41615,2002,1,0
656,41660,2002,1,0
657,41668,2002,1,1
658,41676,2002,1,0
659,41770,2002,1,1
660,41791,2002,1,1
661,41799,2002,1,0
662,41801,2002,1,0
663,41797,2002,1,1
664,41807,2002,1,1
665,41872,2002,1,0
666,41885,2002,1,0
667,41006,2002,3,2
668,41013,2002,3,1
669,41016,2002,3,3
670,41020,2002,3,9
671,41026,2002,3,0
672,41078,2002,3,4
673,41132,2002,3,0
674,41206,2002,3,3
675,41244,2002,3,2
676,41298,2002,3,8
677,41306,2002,3,7
678,41319,2002,3,2
679,41349,2002,3,0
680,41357,2002,3,3
681,41359,2002,3,5
682,41378,2002,3,1
683,41396,2002,3,5
684,41483,2002,3,0
685,41001,2002,3,24
686,41503,2002,3,1
687,41518,2002,3,0
688,41524,2002,3,5
689,41530,2002,3,0
690,41548,2002,3,0
691,41551,2002,3,2
692,41615,2002,3,3
693,41660,2002,3,1
694,41668,2002,3,12
695,41676,2002,3,1
696,41770,2002,3,5
697,41791,2002,3,4
698,41799,2002,3,4
699,41801,2002,3,0
700,41797,2002,3,1
701,41807,2002,3,1
702,41872,2002,3,0
703,41885,2002,3,0
704,41006,2002,4,0
705,41013,2002,4,0
706,41016,2002,4,0
707,41020,2002,4,0
708,41026,2002,4,0
709,41078,2002,4,0
710,41132,2002,4,1
711,41206,2002,4,0
712,41244,2002,4,0
713,41298,2002,4,1
714,41306,2002,4,0
715,41319,2002,4,0
716,41349,2002,4,0
717,41357,2002,4,0
718,41359,2002,4,0
719,41378,2002,4,0
720,41396,2002,4,0
721,41483,2002,4,0
722,41001,2002,4,30
723,41503,2002,4,0
724,41518,2002,4,0
725,41524,2002,4,0
726,41530,2002,4,0
727,41548,2002,4,0
728,41551,2002,4,2
729,41615,2002,4,0
730,41660,2002,4,0
731,41668,2002,4,0
732,41676,2002,4,0
733,41770,2002,4,0
734,41791,2002,4,0
735,41799,2002,4,0
736,41801,2002,4,0
737,41797,2002,4,0
738,41807,2002,4,0
739,41872,2002,4,0
740,41885,2002,4,0
741,41006,2002,10,0
742,41013,2002,10,0
743,41016,2002,10,0
744,41020,2002,10,0
745,41026,2002,10,1
746,41078,2002,10,0
747,41132,2002,10,0
748,41206,2002,10,0
749,41244,2002,10,1
750,41298,2002,10,0
751,41306,2002,10,0
752,41319,2002,10,0
753,41349,2002,10,1
754,41357,2002,10,0
755,41359,2002,10,1
756,41378,2002,10,1
757,41396,2002,10,0
758,41483,2002,10,1
759,41001,2002,10,0
760,41503,2002,10,0
761,41518,2002,10,1
762,41524,2002,10,0
763,41530,2002,10,1
764,41548,2002,10,0
765,41551,2002,10,0
766,41615,2002,10,0
767,41660,2002,10,0
768,41668,2002,10,0
769,41676,2002,10,0
770,41770,2002,10,0
771,41791,2002,10,0
772,41799,2002,10,0
773,41801,2002,10,0
774,41797,2002,10,0
775,41807,2002,10,0
776,41872,2002,10,1
777,41885,2002,10,0
778,41006,2002,11,0
779,41013,2002,11,0
780,41016,2002,11,0
781,41020,2002,11,0
782,41026,2002,11,0
783,41078,2002,11,0
784,41132,2002,11,0
785,41206,2002,11,1
786,41244,2002,11,0
787,41298,2002,11,0
788,41306,2002,11,0
789,41319,2002,11,0
790,41349,2002,11,0
791,41357,2002,11,0
792,41359,2002,11,0
793,41378,2002,11,0
794,41396,2002,11,3
795,41483,2002,11,0
796,41001,2002,11,3
797,41503,2002,11,1
798,41518,2002,11,0
799,41524,2002,11,1
800,41530,2002,11,0
801,41548,2002,11,1
802,41551,2002,11,4
803,41615,2002,11,1
804,41660,2002,11,1
805,41668,2002,11,0
806,41676,2002,11,1
807,41770,2002,11,0
808,41791,2002,11,0
809,41799,2002,11,1
810,41801,2002,11,1
811,41797,2002,11,0
812,41807,2002,11,0
813,41872,2002,11,0
814,41885,2002,11,1
815,41006,2002,12,
816,41013,2002,12,15
817,41016,2002,12,18
818,41020,2002,12,18
819,41026,2002,12,
820,41078,2002,12,8
821,41132,2002,12,21
822,41206,2002,12,
823,41244,2002,12,
824,41298,2002,12,86
825,41306,2002,12,24
826,41319,2002,12,
827,41349,2002,12,
828,41357,2002,12,7
829,41359,2002,12,
830,41378,2002,12,
831,41396,2002,12,41
832,41483,2002,12,
833,41001,2002,12,272
834,41503,2002,12,
835,41518,2002,12,
836,41524,2002,12,13
837,41530,2002,12,
838,41548,2002,12,
839,41551,2002,12,97
840,41615,2002,12,
841,41660,2002,12,
842,41668,2002,12,15
843,41676,2002,12,
844,41770,2002,12,20
845,41791,2002,12,24
846,41799,2002,12,
847,41801,2002,12,
848,41797,2002,12,11
849,41807,2002,12,14
850,41872,2002,12,
851,41885,2002,12,
852,41006,2002,13,0
853,41013,2002,13,0
854,41016,2002,13,0
855,41020,2002,13,0
856,41026,2002,13,0
857,41078,2002,13,0
858,41132,2002,13,0
859,41206,2002,13,0
860,41244,2002,13,0
861,41298,2002,13,0
862,41306,2002,13,0
863,41319,2002,13,0
864,41349,2002,13,0
865,41357,2002,13,0
866,41359,2002,13,0
867,41378,2002,13,0
868,41396,2002,13,1
869,41483,2002,13,0
870,41001,2002,13,0
871,41503,2002,13,0
872,41518,2002,13,0
873,41524,2002,13,0
874,41530,2002,13,0
875,41548,2002,13,0
876,41551,2002,13,0
877,41615,2002,13,0
878,41660,2002,13,0
879,41668,2002,13,0
880,41676,2002,13,0
881,41770,2002,13,0
882,41791,2002,13,0
883,41799,2002,13,0
884,41801,2002,13,0
885,41797,2002,13,0
886,41807,2002,13,0
887,41872,2002,13,0
888,41885,2002,13,0
889,41006,2001,1,1
890,41013,2001,1,1
891,41016,2001,1,1
892,41020,2001,1,1
893,41026,2001,1,1
894,41078,2001,1,1
895,41132,2001,1,1
896,41206,2001,1,1
897,41244,2001,1,1
898,41298,2001,1,2
899,41306,2001,1,1
900,41319,2001,1,1
901,41349,2001,1,1
902,41357,2001,1,1
903,41359,2001,1,0
904,41378,2001,1,1
905,41396,2001,1,1
906,41483,2001,1,1
907,41001,2001,1,4
908,41503,2001,1,1
909,41518,2001,1,1
910,41524,2001,1,1
911,41530,2001,1,1
912,41548,2001,1,1
913,41551,2001,1,2
914,41615,2001,1,1
915,41660,2001,1,1
916,41668,2001,1,1
917,41676,2001,1,1
918,41770,2001,1,1
919,41791,2001,1,1
920,41799,2001,1,1
921,41801,2001,1,1
922,41797,2001,1,1
923,41807,2001,1,1
924,41872,2001,1,1
925,41885,2001,1,1
926,41006,2001,2,0
927,41013,2001,2,0
928,41016,2001,2,0
929,41020,2001,2,0
930,41026,2001,2,0
931,41078,2001,2,0
932,41132,2001,2,0
933,41206,2001,2,0
934,41244,2001,2,0
935,41298,2001,2,1
936,41306,2001,2,0
937,41319,2001,2,0
938,41349,2001,2,0
939,41357,2001,2,0
940,41359,2001,2,1
941,41378,2001,2,0
942,41396,2001,2,4
943,41483,2001,2,0
944,41001,2001,2,0
945,41503,2001,2,1
946,41518,2001,2,0
947,41524,2001,2,1
948,41530,2001,2,0
949,41548,2001,2,0
950,41551,2001,2,2
951,41615,2001,2,0
952,41660,2001,2,0
953,41668,2001,2,0
954,41676,2001,2,1
955,41770,2001,2,0
956,41791,2001,2,0
957,41799,2001,2,0
958,41801,2001,2,1
959,41797,2001,2,0
960,41807,2001,2,0
961,41872,2001,2,0
962,41885,2001,2,0
963,41006,2001,3,2
964,41013,2001,3,1
965,41016,2001,3,3
966,41020,2001,3,9
967,41026,2001,3,0
968,41078,2001,3,4
969,41132,2001,3,0
970,41206,2001,3,3
971,41244,2001,3,2
972,41298,2001,3,8
973,41306,2001,3,7
974,41319,2001,3,2
975,41349,2001,3,0
976,41357,2001,3,3
977,41359,2001,3,5
978,41378,2001,3,1
979,41396,2001,3,5
980,41483,2001,3,0
981,41001,2001,3,24
982,41503,2001,3,1
983,41518,2001,3,0
984,41524,2001,3,5
985,41530,2001,3,0
986,41548,2001,3,0
987,41551,2001,3,2
988,41615,2001,3,3
989,41660,2001,3,1
990,41668,2001,3,12
991,41676,2001,3,1
992,41770,2001,3,5
993,41791,2001,3,4
994,41799,2001,3,4
995,41801,2001,3,0
996,41797,2001,3,1
997,41807,2001,3,1
998,41872,2001,3,0
999,41885,2001,3,0
1000,41006,2001,4,0
1001,41013,2001,4,0
1002,41016,2001,4,0
1003,41020,2001,4,0
1004,41026,2001,4,0
1005,41078,2001,4,0
1006,41132,2001,4,1
1007,41206,2001,4,0
1008,41244,2001,4,0
1009,41298,2001,4,0
1010,41306,2001,4,0
1011,41319,2001,4,0
1012,41349,2001,4,0
1013,41357,2001,4,0
1014,41359,2001,4,0
1015,41378,2001,4,0
1016,41396,2001,4,0
1017,41483,2001,4,0
1018,41001,2001,4,18
1019,41503,2001,4,0
1020,41518,2001,4,0
1021,41524,2001,4,0
1022,41530,2001,4,0
1023,41548,2001,4,0
1024,41551,2001,4,1
1025,41615,2001,4,0
1026,41660,2001,4,0
1027,41668,2001,4,0
1028,41676,2001,4,0
1029,41770,2001,4,0
1030,41791,2001,4,0
1031,41799,2001,4,0
1032,41801,2001,4,0
1033,41797,2001,4,0
1034,41807,2001,4,0
1035,41872,2001,4,0
1036,41885,2001,4,0
1037,41006,2001,12,0
1038,41013,2001,12,15
1039,41016,2001,12,18
1040,41020,2001,12,18
1041,41026,2001,12,0
1042,41078,2001,12,8
1043,41132,2001,12,21
1044,41206,2001,12,0
1045,41244,2001,12,0
1046,41298,2001,12,84
1047,41306,2001,12,24
1048,41319,2001,12,0
1049,41349,2001,12,0
1050,41357,2001,12,10
1051,41359,2001,12,0
1052,41378,2001,12,0
1053,41396,2001,12,47
1054,41483,2001,12,0
1055,41001,2001,12,274
1056,41503,2001,12,0
1057,41518,2001,12,0
1058,41524,2001,12,13
1059,41530,2001,12,0
1060,41548,2001,12,0
1061,41551,2001,12,97
1062,41615,2001,12,0
1063,41660,2001,12,0
1064,41668,2001,12,15
1065,41676,2001,12,0
1066,41770,2001,12,20
1067,41791,2001,12,24
1068,41799,2001,12,0
1069,41801,2001,12,0
1070,41797,2001,12,11
1071,41807,2001,12,16
1072,41872,2001,12,0
1073,41885,2001,12,0
